datetime,open,high,low,close,tick_volume
2010-01-01 00:00:00,1.616690,1.616810,1.615980,1.616080,240
2010-01-01 04:00:00,1.616750,1.616960,1.616000,1.616720,240
2010-01-01 08:00:00,1.616720,1.616930,1.615820,1.616700,240
2010-01-01 12:00:00,1.616700,1.616820,1.616050,1.616720,240
2010-01-01 16:00:00,1.616720,1.616900,1.614870,1.616700,240
2010-01-01 20:00:00,1.616700,1.616780,1.616140,1.616140,240
2010-01-02 00:00:00,1.616670,1.616670,1.616670,1.616670,240
2010-01-02 04:00:00,1.616670,1.616670,1.616670,1.616670,240
2010-01-02 08:00:00,1.616670,1.616670,1.616670,1.616670,240
2010-01-02 12:00:00,1.616670,1.616670,1.616670,1.616670,240
2010-01-02 16:00:00,1.616670,1.616670,1.616670,1.616670,240
2010-01-02 20:00:00,1.616670,1.616670,1.616670,1.616670,240
2010-01-03 00:00:00,1.616670,1.616670,1.616670,1.616670,240
2010-01-03 04:00:00,1.616670,1.616670,1.616670,1.616670,240
2010-01-03 08:00:00,1.616670,1.616670,1.616670,1.616670,240
2010-01-03 12:00:00,1.616670,1.616670,1.616670,1.616670,240
2010-01-03 16:00:00,1.616670,1.616670,1.616670,1.616670,240
2010-01-03 20:00:00,1.616670,1.616670,1.610230,1.613750,240
2010-01-04 00:00:00,1.613700,1.614550,1.607100,1.608850,240
2010-01-04 04:00:00,1.609050,1.611100,1.605750,1.609750,240
2010-01-04 08:00:00,1.609750,1.624150,1.609000,1.622050,240
2010-01-04 12:00:00,1.622100,1.622350,1.611450,1.611950,240
2010-01-04 16:00:00,1.611950,1.613150,1.608450,1.609250,240
2010-01-04 20:00:00,1.609300,1.611350,1.608150,1.611250,240
2010-01-05 00:00:00,1.611250,1.613700,1.606600,1.608650,240
2010-01-05 04:00:00,1.608650,1.615300,1.607850,1.609900,240
2010-01-05 08:00:00,1.610050,1.610350,1.598800,1.601250,240
2010-01-05 12:00:00,1.601200,1.607000,1.600500,1.603100,240
2010-01-05 16:00:00,1.603150,1.604900,1.596500,1.600000,240
2010-01-05 20:00:00,1.600050,1.600650,1.597100,1.598850,240
2010-01-06 00:00:00,1.598850,1.600450,1.594350,1.598050,240
2010-01-06 04:00:00,1.598050,1.602850,1.595000,1.601600,240
2010-01-06 08:00:00,1.601600,1.606350,1.597800,1.598200,240
2010-01-06 12:00:00,1.598200,1.600000,1.593700,1.599800,240
2010-01-06 16:00:00,1.599800,1.604300,1.597300,1.599800,240
2010-01-06 20:00:00,1.599650,1.603250,1.599550,1.602050,240
2010-01-07 00:00:00,1.602000,1.605850,1.599300,1.601200,240
2010-01-07 04:00:00,1.601300,1.601900,1.593000,1.595200,240
2010-01-07 08:00:00,1.595200,1.597000,1.589700,1.590900,240
2010-01-07 12:00:00,1.590950,1.595650,1.589600,1.593500,240
2010-01-07 16:00:00,1.593500,1.595100,1.590350,1.594200,240
2010-01-07 20:00:00,1.594200,1.594400,1.592150,1.593200,240
2010-01-08 00:00:00,1.593200,1.595600,1.591500,1.593900,240
2010-01-08 04:00:00,1.593900,1.597650,1.592350,1.597050,240
2010-01-08 08:00:00,1.597050,1.603700,1.596250,1.600700,240
2010-01-08 12:00:00,1.600750,1.611000,1.595650,1.595950,240
2010-01-08 16:00:00,1.596100,1.604350,1.596050,1.603100,240
2010-01-08 20:00:00,1.603100,1.603900,1.601750,1.602100,240
2010-01-09 00:00:00,1.601620,1.601620,1.601620,1.601620,240
2010-01-09 04:00:00,1.601620,1.601620,1.601620,1.601620,240
2010-01-09 08:00:00,1.601620,1.601620,1.601620,1.601620,240
2010-01-09 12:00:00,1.601620,1.601620,1.601620,1.601620,240
2010-01-09 16:00:00,1.601620,1.601620,1.601620,1.601620,240
2010-01-09 20:00:00,1.601620,1.601620,1.601620,1.601620,240
2010-01-10 00:00:00,1.601620,1.601620,1.601620,1.601620,240
2010-01-10 04:00:00,1.601620,1.601620,1.601620,1.601620,240
2010-01-10 08:00:00,1.601620,1.601620,1.601620,1.601620,240
2010-01-10 12:00:00,1.601620,1.601620,1.601620,1.601620,240
2010-01-10 16:00:00,1.601620,1.601620,1.601620,1.601620,240
2010-01-10 20:00:00,1.601620,1.609700,1.601620,1.608700,240
2010-01-11 00:00:00,1.608550,1.610700,1.606300,1.609050,240
2010-01-11 04:00:00,1.609100,1.613600,1.606750,1.609500,240
2010-01-11 08:00:00,1.609450,1.619350,1.609450,1.617500,240
2010-01-11 12:00:00,1.617550,1.618850,1.611700,1.617100,240
2010-01-11 16:00:00,1.617100,1.617750,1.609200,1.609950,240
2010-01-11 20:00:00,1.609950,1.612000,1.609350,1.611000,240
2010-01-12 00:00:00,1.611000,1.611050,1.606150,1.607500,240
2010-01-12 04:00:00,1.607500,1.612850,1.607500,1.609600,240
2010-01-12 08:00:00,1.609600,1.616450,1.606300,1.613950,240
2010-01-12 12:00:00,1.614000,1.619450,1.611550,1.619050,240
2010-01-12 16:00:00,1.619050,1.619050,1.615150,1.617600,240
2010-01-12 20:00:00,1.617600,1.617950,1.614600,1.614950,240
2010-01-13 00:00:00,1.615100,1.616950,1.613650,1.616700,240
2010-01-13 04:00:00,1.616700,1.623300,1.616050,1.621350,240
2010-01-13 08:00:00,1.621350,1.628200,1.619250,1.627750,240
2010-01-13 12:00:00,1.627750,1.629450,1.624600,1.626500,240
2010-01-13 16:00:00,1.626450,1.630700,1.625600,1.628050,240
2010-01-13 20:00:00,1.628100,1.629300,1.626250,1.628200,240
2010-01-14 00:00:00,1.628050,1.630900,1.627650,1.628900,240
2010-01-14 04:00:00,1.628950,1.630750,1.627200,1.628150,240
2010-01-14 08:00:00,1.628150,1.631250,1.626150,1.626900,240
2010-01-14 12:00:00,1.626900,1.632400,1.624950,1.631100,240
2010-01-14 16:00:00,1.631100,1.634650,1.628700,1.633200,240
2010-01-14 20:00:00,1.633200,1.634250,1.632250,1.633300,240
2010-01-15 00:00:00,1.633300,1.634950,1.628450,1.632350,240
2010-01-15 04:00:00,1.632350,1.635450,1.630600,1.633200,240
2010-01-15 08:00:00,1.633150,1.633850,1.626750,1.628800,240
2010-01-15 12:00:00,1.628850,1.631950,1.624950,1.625350,240
2010-01-15 16:00:00,1.625400,1.627400,1.621000,1.625800,240
2010-01-15 20:00:00,1.625800,1.627150,1.625350,1.626150,240
2010-01-16 00:00:00,1.626030,1.626030,1.626030,1.626030,240
2010-01-16 04:00:00,1.626030,1.626030,1.626030,1.626030,240
2010-01-16 08:00:00,1.626030,1.626030,1.626030,1.626030,240
2010-01-16 12:00:00,1.626030,1.626030,1.626030,1.626030,240
2010-01-16 16:00:00,1.626030,1.626030,1.626030,1.626030,240
2010-01-16 20:00:00,1.626030,1.626030,1.626030,1.626030,240
2010-01-17 00:00:00,1.626030,1.626030,1.626030,1.626030,240
2010-01-17 04:00:00,1.626030,1.626030,1.626030,1.626030,240
2010-01-17 08:00:00,1.626030,1.626030,1.626030,1.626030,240
2010-01-17 12:00:00,1.626030,1.626030,1.626030,1.626030,240
2010-01-17 16:00:00,1.626030,1.626030,1.626030,1.626030,240
2010-01-17 20:00:00,1.626030,1.628850,1.626000,1.628750,240
2010-01-18 00:00:00,1.628750,1.631550,1.624950,1.630750,240
2010-01-18 04:00:00,1.630750,1.632450,1.627100,1.632300,240
2010-01-18 08:00:00,1.632450,1.637700,1.632200,1.633550,240
2010-01-18 12:00:00,1.633550,1.635100,1.629900,1.633650,240
2010-01-18 16:00:00,1.633500,1.634750,1.631600,1.632850,240
2010-01-18 20:00:00,1.632850,1.635800,1.631000,1.635050,240
2010-01-19 00:00:00,1.635000,1.642000,1.633950,1.641500,240
2010-01-19 04:00:00,1.641500,1.643750,1.639650,1.642000,240
2010-01-19 08:00:00,1.642000,1.645750,1.633400,1.633750,240
2010-01-19 12:00:00,1.633800,1.638750,1.631150,1.637050,240
2010-01-19 16:00:00,1.637050,1.639450,1.634150,1.636200,240
2010-01-19 20:00:00,1.636150,1.638100,1.634450,1.635750,240
2010-01-20 00:00:00,1.635750,1.637000,1.630750,1.631900,240
2010-01-20 04:00:00,1.631900,1.632600,1.626500,1.626900,240
2010-01-20 08:00:00,1.626900,1.632350,1.625150,1.627500,240
2010-01-20 12:00:00,1.627450,1.630800,1.624300,1.627600,240
2010-01-20 16:00:00,1.627600,1.630100,1.626550,1.628850,240
2010-01-20 20:00:00,1.628900,1.630300,1.628100,1.630050,240
2010-01-21 00:00:00,1.630000,1.631150,1.624650,1.626250,240
2010-01-21 04:00:00,1.626250,1.629550,1.622650,1.623000,240
2010-01-21 08:00:00,1.623000,1.623900,1.612450,1.615200,240
2010-01-21 12:00:00,1.615200,1.623450,1.614900,1.617300,240
2010-01-21 16:00:00,1.617400,1.623850,1.613400,1.620900,240
2010-01-21 20:00:00,1.620900,1.621250,1.617700,1.619800,240
2010-01-22 00:00:00,1.619800,1.622050,1.616700,1.621450,240
2010-01-22 04:00:00,1.621450,1.626900,1.620550,1.624900,240
2010-01-22 08:00:00,1.624900,1.628350,1.616450,1.617550,240
2010-01-22 12:00:00,1.617600,1.618650,1.607700,1.612350,240
2010-01-22 16:00:00,1.612350,1.615300,1.610550,1.611500,240
