datetime,open,high,low,close,tick_volume
2010-01-02 00:00:00,1.433350,1.433350,1.433350,1.433350,240
2010-01-02 04:00:00,1.433350,1.433350,1.433350,1.433350,240
2010-01-02 08:00:00,1.433350,1.433350,1.433350,1.433350,240
2010-01-02 12:00:00,1.433350,1.433350,1.433350,1.433350,240
2010-01-02 16:00:00,1.433350,1.433350,1.433350,1.433350,240
2010-01-02 20:00:00,1.433350,1.433350,1.433350,1.433350,240
2010-01-04 00:00:00,1.431430,1.431990,1.425590,1.428320,240
2010-01-04 04:00:00,1.428420,1.431220,1.426640,1.430280,240
2010-01-04 08:00:00,1.430380,1.441700,1.429720,1.438850,240
2010-01-04 12:00:00,1.438870,1.445560,1.438430,1.443690,240
2010-01-04 16:00:00,1.443660,1.444090,1.440760,1.441070,240
2010-01-04 20:00:00,1.440980,1.442470,1.440010,1.442440,240
2010-01-05 00:00:00,1.442380,1.443950,1.440340,1.442130,240
2010-01-05 04:00:00,1.442130,1.448340,1.441340,1.445080,240
2010-01-05 08:00:00,1.445080,1.445350,1.439710,1.441670,240
2010-01-05 12:00:00,1.441540,1.445440,1.438640,1.441450,240
2010-01-05 16:00:00,1.441300,1.442370,1.434450,1.436840,240
2010-01-05 20:00:00,1.436850,1.437290,1.434660,1.436340,240
2010-01-06 00:00:00,1.436380,1.436860,1.433230,1.435320,240
2010-01-06 04:00:00,1.435440,1.436170,1.428070,1.432810,240
2010-01-06 08:00:00,1.432880,1.438250,1.432420,1.434720,240
2010-01-06 12:00:00,1.434750,1.439210,1.433230,1.438650,240
2010-01-06 16:00:00,1.438690,1.443420,1.438050,1.440680,240
2010-01-06 20:00:00,1.440790,1.441670,1.438940,1.440050,240
2010-01-07 00:00:00,1.440080,1.444320,1.439120,1.440320,240
2010-01-07 04:00:00,1.440360,1.441590,1.435290,1.438470,240
2010-01-07 08:00:00,1.438520,1.439990,1.432470,1.433400,240
2010-01-07 12:00:00,1.433310,1.435050,1.429760,1.432630,240
2010-01-07 16:00:00,1.432570,1.433300,1.430180,1.432550,240
2010-01-07 20:00:00,1.432410,1.432560,1.430070,1.431550,240
2010-01-09 00:00:00,1.440830,1.440830,1.440830,1.440830,240
2010-01-09 04:00:00,1.440830,1.440830,1.440830,1.440830,240
2010-01-09 08:00:00,1.440830,1.440830,1.440830,1.440830,240
2010-01-09 12:00:00,1.440830,1.440830,1.440830,1.440830,240
2010-01-09 16:00:00,1.440830,1.440830,1.440830,1.440830,240
2010-01-09 20:00:00,1.440830,1.440830,1.440830,1.440830,240
2010-01-11 00:00:00,1.446310,1.453100,1.446140,1.452030,240
2010-01-11 04:00:00,1.451960,1.452500,1.447690,1.448580,240
2010-01-11 08:00:00,1.448550,1.454460,1.448270,1.453030,240
2010-01-11 12:00:00,1.452920,1.455390,1.449370,1.454650,240
2010-01-11 16:00:00,1.454630,1.455090,1.450500,1.451710,240
2010-01-11 20:00:00,1.451800,1.452780,1.449860,1.450630,240
2010-01-12 00:00:00,1.450640,1.450640,1.445070,1.446960,240
2010-01-12 04:00:00,1.447250,1.452080,1.447020,1.450380,240
2010-01-12 08:00:00,1.450520,1.451370,1.446050,1.447990,240
